timeslot,sourceIdentifier,programName,flags
27,WDPN,M*A*S*H \{9B} \{7C},none
28,WDPN,M*A*S*H \{9B} \{7C},none
29,WDPN,The Andy Griffith Show \{9B} \{7C},none
30,WDPN,The Andy Griffith Show \{9B} \{7C},none
31,WDPN,"Gomer Pyle, U.S.M.C. \{99} \{7C}",none
32,WDPN,Green Acres \{99} \{7C},none
33,WDPN,Hogan's Heroes \{99} \{7C},none
34,WDPN,Hogan's Heroes \{99} \{7C},none
35,WDPN,Carol Burnett and Friends \{99} \{7C},none
36,WDPN,Perry Mason \{9B} \{7C},none
38,WDPN,The Twilight Zone \{9B} \{91} \{7C},none
39,WDPN,Alfred Hitchcock Hour \{9B} \{7C},none
41,WDPN,Mannix \{9B} \{7C},none
43,WDPN,Cannon \{9B} \{7C},none
45,WDPN,Barnaby Jones \{99} \{91} \{7C},none
47,WDPN,Paid Programming \{99},none
48,WDPN,The Key To Healthy Living,none
27,KYW,Inside Edition \{9B} \{91} \{7C},none
28,KYW,Entertainment Tonight \{91} \{7C},none
29,KYW,Play On: Celebrating the Power of Music to Make Change \{9B} \{91} \{7C},none
31,KYW,NCIS \{91} \{7C},none
33,KYW,FBI \{91} \{7C},none
35,KYW,Eyewitness News at 11pm \{91} \{7C},none
36,KYW,(11:35) The Late Show With Stephen Colbert \{9B} \{91} \{7C},none
38,KYW,(12:37) The Late Late Show With James Corden \{91} \{7C},none
40,KYW,( 1:37) Comics Unleashed With Byron Allen \{9B} \{91} \{7C},none
41,KYW,( 2:07) Eyewitness News at 11pm \{91} \{7C},none
42,KYW,( 2:37) Relief from Inflammation,none
43,KYW,( 3:07) Paid Programming \{99},none
43,KYW,( 3:10) CBS Evening News With Norah O'Donnell \{91} \{7C},none
44,KYW,( 3:40) CBS Overnight News \{91} \{7C},none
45,KYW,CBS Morning News \{91} \{7C},none
46,KYW,Eyewitness News at 4:30am \{91} \{7C},none
47,KYW,Eyewitness News at 5am \{91} \{7C},none
27,WACPSD,MyPillow Topper,none
28,WACPSD,MyPillow Topper,none
29,WACPSD,Cher,none
30,WACPSD,Silver Peace Dollars,none
31,WACPSD,SNL: The Early Years,none
32,WACPSD,SNL: The Early Years,none
33,WACPSD,Union Baptist Temple,none
35,WACPSD,Dolly Parton!,none
36,WACPSD,Dolly Parton!,none
37,WACPSD,Never Rake Again!,none
38,WACPSD,Never Rake Again!,none
39,WACPSD,Liberty Safes,none
40,WACPSD,MyPillow Topper,none
41,WACPSD,Dolly Parton!,none
42,WACPSD,Dolly Parton!,none
43,WACPSD,Emeril Pasta Secret,none
44,WACPSD,Emeril Pasta Secret,none
45,WACPSD,MyPillow Topper,none
46,WACPSD,MyPillow Topper,none
47,WACPSD,5 Makeup Tips 4 You,none
48,WACPSD,5 Makeup Tips 4 You,none
27,USA,Law & Order: Special Victims Unit \{91} \{7C},none
29,USA,Law & Order: Special Victims Unit \{91} \{7C},none
31,USA,Law & Order: Special Victims Unit \{91} \{7C},none
33,USA,Law & Order: Special Victims Unit \{91} \{7C},none
35,USA,(11:01) Modern Family \{9B} \{91} \{7C},none
36,USA,(11:31) Modern Family \{9B} \{91} \{7C},none
37,USA,Modern Family \{9B} \{91} \{7C},none
